title,price,rating
"Apple iPhone 8 (Space Grey, 64 GB)","₹35,999",4.6
"Apple iPhone 7 (Gold, 32 GB)","₹26,999",4.5
"Apple iPhone 7 (Silver, 32 GB)","₹26,999",4.5
"Apple iPhone 7 (Black, 256 GB)","₹56,999",4.5
"Apple iPhone 8 (Silver, 64 GB)","₹35,999",4.6
"Apple iPhone 6s (Space Grey, 32 GB)","₹22,999",4.5
"Apple iPhone 6s (Gold, 32 GB)","₹22,999",4.5
"Apple iPhone 6s (Rose Gold, 32 GB)","₹22,999",4.5
"Apple iPhone XR (Black, 64 GB)","₹50,999",4.6
"Apple iPhone 11 (Black, 64 GB)","₹64,900",4.8
"Apple iPhone 11 (White, 64 GB)","₹64,900",4.8
"Apple iPhone XR ((PRODUCT)RED, 64 GB)","₹50,900",4.6
"Apple iPhone 6s (Silver, 32 GB)","₹26,999",4.5
"Apple iPhone XR (Coral, 64 GB)","₹53,999",4.6
"Apple iPhone 11 (Red, 64 GB)","₹64,900",4.8
"Apple iPhone 11 (Red, 128 GB)","₹69,900",4.8
"Apple iPhone XR (Black, 128 GB)","₹56,900",4.6
"Apple iPhone XR (White, 128 GB)","₹56,799",4.6
"Apple iPhone 8 (Silver, 256 GB)","₹64,400",4.6
"Apple iPhone 11 Pro (Silver, 256 GB)","₹1,13,900",4.7
"Apple iPhone 11 Pro (Gold, 64 GB)","₹99,900",4.7
"Apple iPhone 6 (Space Grey, 32 GB)","₹25,999",4.4
"Apple iPhone 7 (Black, 32 GB)","₹26,999",4.5
"Apple iPhone 11 Pro Max (Gold, 256 GB)","₹1,23,900",4.8
